OrderID,Date,ProductKey,StoreKey,CustomerKey,Quantity,UnitPrice,Discount,SalesAmount,UnitCost,ProfitAmount
100033,2024-02-16,1,8,82,2,999,0.0,1998.0,1240,758.0
100033,2024-02-16,2,8,82,1,799,0.0,799.0,480,319.0
100034,2025-01-20,4,10,137,1,399,51.83,347.17,210,137.17
100035,2024-03-02,18,9,375,1,24,0.0,24.0,8,16.0
100035,2024-03-02,15,9,375,1,35,0.0,35.0,12,23.0
100036,2024-05-09,11,5,276,2,129,0.0,258.0,90,168.0
100037,2025-11-18,9,8,10,1,79,0.0,79.0,25,54.0
100037,2025-11-18,17,8,10,2,89,0.0,178.0,60,118.0
100038,2025-12-14,4,2,364,1,399,64.09,334.91,210,124.91
100039,2026-02-05,1,4,155,1,999,0.0,999.0,620,379.0
100039,2026-02-05,8,4,155,1,349,0.0,349.0,150,199.0
100040,2026-05-03,14,1,377,1,49,0.0,49.0,18,31.0
100041,2026-01-01,11,2,234,1,129,0.0,129.0,45,84.0
100042,2026-03-05,1,5,231,2,999,0.0,1998.0,1240,758.0
100043,2024-03-02,16,1,371,1,39,0.0,39.0,15,24.0
100043,2024-03-02,8,1,371,1,349,0.0,349.0,150,199.0
100044,2024-09-23,19,2,112,1,99,0.0,99.0,35,64.0
100044,2024-09-23,7,2,112,1,599,0.0,599.0,260,339.0
100045,2025-10-06,16,8,227,2,39,0.0,78.0,30,48.0
100045,2025-10-06,15,8,227,1,35,8.03,26.97,12,14.97
100046,2026-04-27,14,9,217,2,49,0.0,98.0,36,62.0
100047,2024-01-06,4,2,139,1,399,0.0,399.0,210,189.0
100047,2024-01-06,12,2,139,1,279,0.0,279.0,140,139.0
100048,2025-06-19,8,4,335,1,349,0.0,349.0,150,199.0
100048,2025-06-19,17,4,335,1,89,0.0,89.0,30,59.0
100049,2025-11-20,9,6,117,1,79,0.0,79.0,25,54.0
100050,2024-02-06,12,6,221,1,279,68.17,210.83,140,70.83
100051,2025-02-23,16,1,86,1,39,7.26,31.74,15,16.74
100052,2026-05-29,18,2,99,1,24,0.0,24.0,8,16.0
100053,2025-11-15,15,8,152,2,35,14.51,55.49,24,31.49
100054,2024-09-27,1,3,80,2,999,0.0,1998.0,1240,758.0
100055,2026-04-22,1,6,389,3,999,0.0,2997.0,1860,1137.0
100056,2024-12-26,10,8,248,1,149,20.75,128.25,60,68.25
100057,2026-04-22,10,5,312,1,149,0.0,149.0,60,89.0
100058,2024-11-20,8,1,31,1,349,54.67,294.33,150,144.33
100059,2025-09-06,12,1,352,1,279,53.54,225.46,140,85.46
100059,2025-09-06,19,1,352,2,99,14.88,183.12,70,113.12
100060,2025-02-18,20,1,143,1,179,0.0,179.0,70,109.0
100061,2024-11-01,7,9,204,1,599,74.22,524.78,260,264.78
100061,2024-11-01,15,9,204,1,35,0.0,35.0,12,23.0
100061,2024-11-01,13,9,204,1,199,16.53,182.47,95,87.47
100062,2026-05-21,15,5,14,1,35,0.0,35.0,12,23.0
100063,2024-08-04,4,3,154,1,399,0.0,399.0,210,189.0
100064,2024-04-12,15,4,182,1,35,2.88,32.12,12,20.12
100065,2024-12-22,13,1,397,1,199,0.0,199.0,95,104.0
100065,2024-12-22,12,1,397,1,279,31.35,247.65,140,107.65
100066,2025-12-17,4,2,1,2,399,0.0,798.0,420,378.0
100066,2025-12-17,19,2,1,1,99,0.0,99.0,35,64.0
100066,2025-12-17,3,2,1,1,649,162.18,486.82,350,136.82
100067,2026-03-11,12,10,376,1,279,41.82,237.18,140,97.18
100067,2026-03-11,15,10,376,1,35,0.0,35.0,12,23.0
100068,2026-08-30,13,5,286,1,199,0.0,199.0,95,104.0
100069,2024-11-18,1,1,254,1,999,0.0,999.0,620,379.0
100069,2024-11-18,7,1,254,1,599,76.44,522.56,260,262.56
100070,2025-03-03,2,10,319,2,799,262.8,1335.2,960,375.2
100070,2025-03-03,17,10,319,2,89,0.0,178.0,60,118.0
100071,2024-06-07,2,2,120,1,799,0.0,799.0,480,319.0
100071,2024-06-07,11,2,120,1,129,0.0,129.0,45,84.0
100071,2024-06-07,13,2,120,1,199,0.0,199.0,95,104.0
100072,2025-08-22,20,8,151,1,179,0.0,179.0,70,109.0
100072,2025-08-22,10,8,151,1,149,0.0,149.0,60,89.0
100073,2026-08-29,4,9,289,1,399,0.0,399.0,210,189.0
100074,2025-12-06,13,2,217,2,199,0.0,398.0,190,208.0
100075,2025-09-11,3,10,384,1,649,0.0,649.0,350,299.0
100076,2025-02-12,16,10,369,1,39,0.0,39.0,15,24.0
100076,2025-02-12,17,10,369,2,89,0.0,178.0,60,118.0
100077,2026-06-15,6,4,176,1,249,0.0,249.0,120,129.0
100078,2025-06-01,19,5,260,1,99,0.0,99.0,35,64.0
100079,2024-06-04,5,1,209,1,349,28.86,320.14,180,140.14
100080,2025-01-12,20,1,47,1,179,0.0,179.0,70,109.0
100081,2024-03-24,10,1,197,1,149,0.0,149.0,60,89.0
100081,2024-03-24,13,1,197,1,199,0.0,199.0,95,104.0
100082,2024-08-20,1,1,359,2,999,0.0,1998.0,1240,758.0
100083,2024-01-22,19,6,83,1,99,13.21,85.79,35,50.79
100084,2025-04-19,18,5,314,1,24,0.0,24.0,8,16.0
100085,2025-10-17,10,4,116,2,149,0.0,298.0,120,178.0
100086,2024-12-23,8,2,1,1,349,84.0,265.0,150,115.0
100086,2024-12-23,11,2,1,2,129,0.0,258.0,90,168.0
100087,2025-03-16,20,2,162,2,179,0.0,358.0,140,218.0
100087,2025-03-16,10,2,162,1,149,0.0,149.0,60,89.0
100088,2026-07-26,6,8,190,1,249,0.0,249.0,120,129.0
100089,2026-01-14,1,2,113,1,999,165.8,833.2,620,213.2
100090,2025-07-17,5,3,215,2,349,77.45,620.55,360,260.55
100091,2024-11-09,19,1,143,1,99,0.0,99.0,35,64.0
100092,2026-05-30,14,9,313,2,49,0.0,98.0,36,62.0
100093,2024-09-24,12,8,42,1,279,0.0,279.0,140,139.0
100094,2024-12-10,1,4,303,1,999,162.84,836.16,620,216.16
100095,2026-06-09,11,6,16,1,129,0.0,129.0,45,84.0
100095,2026-06-09,14,6,16,2,49,0.0,98.0,36,62.0
100096,2025-07-05,15,8,299,1,35,0.0,35.0,12,23.0
100097,2026-01-04,8,1,42,1,349,0.0,349.0,150,199.0
100098,2025-09-06,16,3,354,1,39,0.0,39.0,15,24.0
100099,2025-11-02,9,4,284,1,79,7.67,71.33,25,46.33
100100,2024-11-20,16,4,226,1,39,0.0,39.0,15,24.0
100101,2024-09-30,16,10,16,3,39,0.0,117.0,45,72.0
100102,2024-12-08,7,8,70,2,599,0.0,1198.0,520,678.0
100103,2024-06-28,17,10,230,3,89,26.34,240.66,90,150.66
100104,2026-05-10,10,5,42,1,149,0.0,149.0,60,89.0
100105,2024-11-08,18,8,95,1,24,0.0,24.0,8,16.0
100106,2025-08-08,15,2,62,1,35,8.64,26.36,12,14.36
100107,2026-02-24,9,9,314,2,79,0.0,158.0,50,108.0
100108,2026-02-15,18,10,76,1,24,2.67,21.33,8,13.33
100109,2025-04-04,17,9,346,1,89,0.0,89.0,30,59.0
100109,2025-04-04,7,9,346,1,599,0.0,599.0,260,339.0
100110,2025-05-12,11,3,83,2,129,0.0,258.0,90,168.0
100110,2025-05-12,8,3,83,1,349,66.53,282.47,150,132.47
100110,2025-05-12,13,3,83,1,199,29.39,169.61,95,74.61
100111,2026-08-27,15,10,100,2,35,0.0,70.0,24,46.0
100112,2025-11-18,9,10,72,2,79,0.0,158.0,50,108.0
100113,2026-03-18,5,7,140,1,349,0.0,349.0,180,169.0
100114,2026-06-04,18,4,76,1,24,0.0,24.0,8,16.0
100115,2026-02-19,4,1,190,2,399,0.0,798.0,420,378.0
100116,2024-08-01,14,3,108,3,49,35.35,111.65,54,57.65
100116,2024-08-01,9,3,108,1,79,0.0,79.0,25,54.0
100117,2025-08-09,8,6,267,2,349,0.0,698.0,300,398.0
100118,2024-05-01,15,6,345,1,35,0.0,35.0,12,23.0
100119,2025-11-02,14,7,51,1,49,0.0,49.0,18,31.0
100120,2026-07-22,14,2,312,1,49,0.0,49.0,18,31.0
100121,2025-06-17,10,5,11,1,149,10.77,138.23,60,78.23
100121,2025-06-17,2,5,11,1,799,0.0,799.0,480,319.0
100122,2025-03-30,5,6,149,1,349,0.0,349.0,180,169.0
100122,2025-03-30,19,6,149,1,99,21.13,77.87,35,42.87
100123,2024-02-14,13,3,44,1,199,0.0,199.0,95,104.0
100123,2024-02-14,18,3,44,1,24,0.0,24.0,8,16.0
100124,2026-07-26,13,6,270,1,199,25.73,173.27,95,78.27
100125,2024-05-02,19,9,232,1,99,0.0,99.0,35,64.0
100125,2024-05-02,18,9,232,1,24,0.0,24.0,8,16.0
100126,2024-02-21,10,8,400,1,149,11.32,137.68,60,77.68
100126,2024-02-21,13,8,400,1,199,0.0,199.0,95,104.0
100127,2024-10-05,2,5,269,1,799,0.0,799.0,480,319.0
100127,2024-10-05,1,5,269,1,999,0.0,999.0,620,379.0
100127,2024-10-05,18,5,269,1,24,0.0,24.0,8,16.0
100128,2024-03-22,9,9,169,1,79,13.85,65.15,25,40.15
100129,2025-04-21,6,6,304,3,249,0.0,747.0,360,387.0
100130,2025-06-21,2,10,380,1,799,0.0,799.0,480,319.0
100130,2025-06-21,8,10,380,1,349,0.0,349.0,150,199.0
100131,2024-11-30,2,9,368,1,799,115.98,683.02,480,203.02
100132,2024-03-05,3,9,117,2,649,0.0,1298.0,700,598.0
100132,2024-03-05,4,9,117,1,399,0.0,399.0,210,189.0
100133,2024-05-11,14,10,283,1,49,0.0,49.0,18,31.0
100134,2025-02-03,8,10,39,1,349,0.0,349.0,150,199.0
100135,2024-03-16,12,3,148,2,279,0.0,558.0,280,278.0
100136,2025-12-04,10,1,197,1,149,34.16,114.84,60,54.84
100137,2024-08-25,17,1,160,1,89,5.69,83.31,30,53.31
100137,2024-08-25,15,1,160,3,35,0.0,105.0,36,69.0
100137,2024-08-25,13,1,160,1,199,0.0,199.0,95,104.0
100138,2024-11-22,15,5,325,1,35,0.0,35.0,12,23.0
100138,2024-11-22,18,5,325,2,24,0.0,48.0,16,32.0
100138,2024-11-22,17,5,325,1,89,15.42,73.58,30,43.58
100139,2025-02-14,19,8,139,1,99,0.0,99.0,35,64.0
100139,2025-02-14,12,8,139,1,279,0.0,279.0,140,139.0
100140,2025-03-12,19,5,196,1,99,17.89,81.11,35,46.11
100141,2024-01-03,19,10,115,1,99,14.46,84.54,35,49.54
100142,2024-05-12,19,5,290,1,99,0.0,99.0,35,64.0
100142,2024-05-12,18,5,290,1,24,2.85,21.15,8,13.15
100143,2026-05-01,7,2,386,2,599,0.0,1198.0,520,678.0
100143,2026-05-01,4,2,386,2,399,0.0,798.0,420,378.0
100144,2024-01-02,16,2,372,1,39,0.0,39.0,15,24.0
100145,2025-06-13,12,4,61,1,279,0.0,279.0,140,139.0
100146,2025-05-25,1,10,38,2,999,0.0,1998.0,1240,758.0
100147,2024-12-15,17,1,368,2,89,27.36,150.64,60,90.64
100148,2025-03-28,6,2,271,1,249,0.0,249.0,120,129.0
100148,2025-03-28,12,2,271,1,279,0.0,279.0,140,139.0
100149,2026-02-12,9,6,250,1,79,0.0,79.0,25,54.0
100150,2026-04-11,9,9,158,1,79,16.22,62.78,25,37.78
100151,2024-10-18,10,6,309,1,149,0.0,149.0,60,89.0
100152,2024-12-08,3,10,257,1,649,137.32,511.68,350,161.68
100153,2024-10-01,17,5,153,1,89,0.0,89.0,30,59.0
100154,2025-05-16,18,1,101,1,24,0.0,24.0,8,16.0
100155,2025-11-24,14,9,333,1,49,0.0,49.0,18,31.0
100155,2025-11-24,9,9,333,2,79,0.0,158.0,50,108.0
100156,2024-09-17,18,2,75,1,24,0.0,24.0,8,16.0
100157,2024-12-14,14,3,73,2,49,0.0,98.0,36,62.0
100158,2026-06-29,19,5,239,1,99,0.0,99.0,35,64.0
100159,2024-03-02,2,3,292,2,799,0.0,1598.0,960,638.0
100160,2025-04-27,20,3,315,1,179,0.0,179.0,70,109.0
100161,2025-12-13,18,10,34,1,24,4.55,19.45,8,11.45
100162,2024-06-22,19,9,236,1,99,0.0,99.0,35,64.0
100162,2024-06-22,12,9,236,2,279,0.0,558.0,280,278.0
100163,2024-03-01,9,8,132,2,79,18.51,139.49,50,89.49
100164,2024-06-09,16,8,55,1,39,0.0,39.0,15,24.0
100165,2026-06-18,20,8,222,2,179,0.0,358.0,140,218.0
100166,2024-01-12,1,3,353,1,999,89.1,909.9,620,289.9
100167,2024-08-05,15,3,30,1,35,0.0,35.0,12,23.0
100167,2024-08-05,9,3,30,2,79,21.43,136.57,50,86.57
100168,2024-02-09,17,9,208,2,89,0.0,178.0,60,118.0
100169,2024-05-10,18,9,278,1,24,0.0,24.0,8,16.0
100170,2025-10-05,15,6,14,2,35,10.08,59.92,24,35.92
100170,2025-10-05,2,6,14,1,799,0.0,799.0,480,319.0
100171,2024-10-01,6,8,314,1,249,0.0,249.0,120,129.0
100171,2024-10-01,8,8,314,1,349,0.0,349.0,150,199.0
100172,2025-08-16,14,7,181,2,49,0.0,98.0,36,62.0
100173,2025-09-06,13,2,137,1,199,0.0,199.0,95,104.0
100174,2026-04-19,1,1,155,1,999,83.81,915.19,620,295.19
100174,2026-04-19,11,1,155,3,129,0.0,387.0,135,252.0
100175,2024-01-06,15,7,131,1,35,6.72,28.28,12,16.28
100175,2024-01-06,3,7,131,3,649,0.0,1947.0,1050,897.0
100176,2026-04-22,8,4,348,1,349,0.0,349.0,150,199.0
100177,2025-10-04,1,9,234,2,999,0.0,1998.0,1240,758.0
100177,2025-10-04,11,9,234,1,129,0.0,129.0,45,84.0
100178,2024-07-06,7,2,18,1,599,0.0,599.0,260,339.0
100179,2026-02-04,10,7,206,2,149,0.0,298.0,120,178.0
100180,2026-04-24,4,10,243,1,399,0.0,399.0,210,189.0
100180,2026-04-24,20,10,243,1,179,0.0,179.0,70,109.0
100181,2024-10-13,17,5,233,2,89,19.66,158.34,60,98.34
100182,2026-06-18,3,7,292,1,649,0.0,649.0,350,299.0
100183,2025-04-21,10,8,83,1,149,0.0,149.0,60,89.0
100184,2025-09-19,20,3,373,2,179,0.0,358.0,140,218.0
100185,2026-08-18,4,1,335,2,399,0.0,798.0,420,378.0
100186,2025-01-07,3,10,58,1,649,0.0,649.0,350,299.0
100187,2026-03-16,18,10,159,1,24,0.0,24.0,8,16.0
100188,2024-12-05,12,1,163,1,279,30.31,248.69,140,108.69
100189,2026-03-03,8,10,265,1,349,0.0,349.0,150,199.0
100190,2025-09-16,2,1,251,1,799,0.0,799.0,480,319.0
100190,2025-09-16,13,1,251,1,199,0.0,199.0,95,104.0
100191,2024-09-04,9,2,235,1,79,0.0,79.0,25,54.0
100192,2025-03-09,13,6,372,1,199,0.0,199.0,95,104.0
100193,2024-12-04,14,4,77,1,49,5.83,43.17,18,25.17
100194,2024-04-05,14,1,378,1,49,0.0,49.0,18,31.0
100194,2024-04-05,6,1,378,2,249,0.0,498.0,240,258.0
100195,2024-02-07,2,8,156,1,799,0.0,799.0,480,319.0
100195,2024-02-07,16,8,156,1,39,0.0,39.0,15,24.0
100196,2024-12-25,6,10,89,1,249,0.0,249.0,120,129.0
100196,2024-12-25,5,10,89,1,349,0.0,349.0,180,169.0
100197,2024-01-24,4,3,132,1,399,24.07,374.93,210,164.93
100197,2024-01-24,9,3,132,1,79,0.0,79.0,25,54.0
100198,2024-07-09,17,2,253,1,89,0.0,89.0,30,59.0
100199,2025-12-22,10,3,307,1,149,0.0,149.0,60,89.0
100200,2025-12-11,16,10,352,2,39,0.0,78.0,30,48.0
100201,2025-12-31,17,6,304,1,89,9.64,79.36,30,49.36
100202,2024-12-04,10,10,33,1,149,0.0,149.0,60,89.0
100203,2026-05-24,1,8,179,1,999,0.0,999.0,620,379.0
100204,2025-09-09,10,4,147,1,149,27.64,121.36,60,61.36
100205,2024-05-26,19,9,379,1,99,0.0,99.0,35,64.0
100206,2024-06-15,19,7,369,3,99,0.0,297.0,105,192.0
100207,2025-12-01,1,9,41,1,999,0.0,999.0,620,379.0
100208,2024-07-18,13,4,309,1,199,0.0,199.0,95,104.0
100208,2024-07-18,6,4,309,2,249,0.0,498.0,240,258.0
100209,2025-06-12,15,9,245,1,35,0.0,35.0,12,23.0
100210,2026-08-24,13,9,251,1,199,0.0,199.0,95,104.0
100211,2024-01-05,10,10,390,1,149,0.0,149.0,60,89.0
100212,2024-01-21,10,10,245,1,149,0.0,149.0,60,89.0
100212,2024-01-21,20,10,245,1,179,0.0,179.0,70,109.0
100212,2024-01-21,15,10,245,2,35,0.0,70.0,24,46.0
100213,2026-08-25,10,6,72,1,149,0.0,149.0,60,89.0
100213,2026-08-25,8,6,72,3,349,0.0,1047.0,450,597.0
100214,2025-08-31,11,2,207,2,129,0.0,258.0,90,168.0
100215,2024-05-27,18,6,101,2,24,0.0,48.0,16,32.0
100216,2026-05-30,10,3,283,1,149,0.0,149.0,60,89.0
100217,2026-05-16,6,4,355,1,249,47.88,201.12,120,81.12
100218,2025-07-12,20,1,176,1,179,0.0,179.0,70,109.0
100219,2025-10-06,12,8,240,1,279,0.0,279.0,140,139.0
100220,2024-10-31,15,4,46,2,35,0.0,70.0,24,46.0
100220,2024-10-31,1,4,46,1,999,0.0,999.0,620,379.0
100221,2024-03-04,3,8,135,1,649,0.0,649.0,350,299.0
100221,2024-03-04,17,8,135,1,89,0.0,89.0,30,59.0
100221,2024-03-04,9,8,135,1,79,0.0,79.0,25,54.0
100222,2025-09-10,19,6,273,1,99,0.0,99.0,35,64.0
100222,2025-09-10,9,6,273,2,79,0.0,158.0,50,108.0
100222,2025-09-10,10,6,273,2,149,0.0,298.0,120,178.0
100223,2024-11-17,8,1,385,2,349,0.0,698.0,300,398.0
100223,2024-11-17,16,1,385,1,39,0.0,39.0,15,24.0
100224,2025-11-10,19,10,103,1,99,0.0,99.0,35,64.0
100225,2026-04-07,20,9,191,1,179,0.0,179.0,70,109.0
100226,2024-01-23,17,7,224,2,89,0.0,178.0,60,118.0
100227,2025-09-11,3,3,269,1,649,0.0,649.0,350,299.0
100228,2024-09-20,15,4,368,1,35,0.0,35.0,12,23.0
100229,2026-05-10,8,1,19,1,349,0.0,349.0,150,199.0
100229,2026-05-10,6,1,19,1,249,0.0,249.0,120,129.0
100230,2024-10-12,13,5,116,3,199,133.95,463.05,285,178.05
100230,2024-10-12,8,5,116,1,349,0.0,349.0,150,199.0
100231,2025-09-26,11,1,338,1,129,0.0,129.0,45,84.0
100232,2025-07-31,4,8,281,1,399,0.0,399.0,210,189.0
100233,2025-02-17,11,8,201,1,129,0.0,129.0,45,84.0
100233,2025-02-17,18,8,201,1,24,0.0,24.0,8,16.0
100233,2025-02-17,10,8,201,1,149,0.0,149.0,60,89.0
100234,2025-11-20,4,8,212,1,399,0.0,399.0,210,189.0
100235,2025-12-23,13,8,358,2,199,83.56,314.44,190,124.44
100236,2025-08-13,8,5,25,1,349,0.0,349.0,150,199.0
100237,2026-01-20,14,5,115,1,49,0.0,49.0,18,31.0
100238,2026-08-17,14,5,387,2,49,0.0,98.0,36,62.0
100239,2025-03-15,20,1,64,1,179,0.0,179.0,70,109.0
100240,2025-06-19,16,1,388,1,39,0.0,39.0,15,24.0
100241,2024-01-16,16,10,141,2,39,0.0,78.0,30,48.0
100242,2026-02-28,16,5,25,1,39,0.0,39.0,15,24.0
100242,2026-02-28,4,5,25,1,399,74.44,324.56,210,114.56
100243,2025-06-25,3,1,93,1,649,51.44,597.56,350,247.56
100244,2025-03-03,5,8,328,1,349,0.0,349.0,180,169.0
100245,2024-04-23,16,2,126,1,39,0.0,39.0,15,24.0
100245,2024-04-23,6,2,126,2,249,0.0,498.0,240,258.0
100246,2026-05-24,18,1,15,1,24,0.0,24.0,8,16.0
100247,2025-02-15,17,8,369,2,89,0.0,178.0,60,118.0
100248,2025-11-23,15,5,333,2,35,0.0,70.0,24,46.0
100249,2024-06-21,13,1,194,2,199,51.55,346.45,190,156.45
100250,2026-07-28,12,6,215,1,279,50.82,228.18,140,88.18
100250,2026-07-28,5,6,215,1,349,0.0,349.0,180,169.0
100251,2024-07-24,4,1,102,1,399,78.64,320.36,210,110.36
100252,2024-08-17,4,8,355,1,399,0.0,399.0,210,189.0
100253,2026-04-27,17,7,303,1,89,0.0,89.0,30,59.0
100254,2026-06-13,7,4,146,1,599,0.0,599.0,260,339.0
100254,2026-06-13,2,4,146,1,799,0.0,799.0,480,319.0
100255,2024-08-31,17,4,149,1,89,8.87,80.13,30,50.13
100255,2024-08-31,13,4,149,1,199,0.0,199.0,95,104.0
100256,2025-05-06,2,8,99,3,799,515.71,1881.29,1440,441.29
100257,2025-12-28,9,7,366,1,79,16.47,62.53,25,37.53
100257,2025-12-28,1,7,366,1,999,0.0,999.0,620,379.0
100258,2026-05-14,10,9,62,1,149,0.0,149.0,60,89.0
100259,2025-01-27,10,6,230,2,149,0.0,298.0,120,178.0
100260,2025-06-22,2,5,320,1,799,0.0,799.0,480,319.0
100261,2026-01-03,12,3,287,2,279,0.0,558.0,280,278.0
100262,2025-12-26,3,1,144,1,649,0.0,649.0,350,299.0
100263,2026-02-14,7,2,129,1,599,0.0,599.0,260,339.0
100264,2025-08-16,8,1,360,1,349,45.89,303.11,150,153.11
100265,2024-05-04,13,1,101,1,199,44.29,154.71,95,59.71
100266,2026-06-05,19,10,316,1,99,0.0,99.0,35,64.0
100267,2026-05-03,4,4,341,1,399,0.0,399.0,210,189.0
100267,2026-05-03,14,4,341,1,49,0.0,49.0,18,31.0
100268,2026-03-02,10,7,95,2,149,0.0,298.0,120,178.0
100268,2026-03-02,9,7,95,2,79,0.0,158.0,50,108.0
100269,2024-04-29,1,10,230,1,999,0.0,999.0,620,379.0
100270,2024-08-22,4,6,178,1,399,0.0,399.0,210,189.0
100271,2026-01-05,14,1,75,1,49,0.0,49.0,18,31.0
100272,2024-01-29,18,6,203,1,24,0.0,24.0,8,16.0
100273,2026-08-13,17,1,161,3,89,0.0,267.0,90,177.0
100274,2025-01-25,3,5,387,1,649,0.0,649.0,350,299.0
100274,2025-01-25,8,5,387,1,349,0.0,349.0,150,199.0
100274,2025-01-25,4,5,387,1,399,0.0,399.0,210,189.0
100275,2025-12-18,14,2,109,1,49,0.0,49.0,18,31.0
100276,2026-05-22,20,5,125,1,179,0.0,179.0,70,109.0
100277,2025-02-15,10,2,17,1,149,0.0,149.0,60,89.0
100278,2024-12-05,3,2,315,1,649,0.0,649.0,350,299.0
100278,2024-12-05,18,2,315,1,24,0.0,24.0,8,16.0
100279,2025-09-24,16,2,76,2,39,0.0,78.0,30,48.0
100279,2025-09-24,10,2,76,1,149,36.06,112.94,60,52.94
100280,2025-08-28,18,1,49,1,24,0.0,24.0,8,16.0
100281,2025-03-04,4,7,199,1,399,0.0,399.0,210,189.0
100282,2025-09-17,3,3,132,1,649,0.0,649.0,350,299.0
100283,2026-07-03,10,4,167,1,149,0.0,149.0,60,89.0
100284,2025-05-04,16,8,364,1,39,0.0,39.0,15,24.0
100284,2025-05-04,6,8,364,2,249,0.0,498.0,240,258.0
100285,2024-08-14,13,2,376,1,199,0.0,199.0,95,104.0
100286,2025-01-25,4,6,31,1,399,85.36,313.64,210,103.64
100287,2025-02-14,15,10,96,2,35,0.0,70.0,24,46.0
100288,2024-06-01,19,10,395,1,99,6.48,92.52,35,57.52
100288,2024-06-01,14,10,395,1,49,0.0,49.0,18,31.0
100289,2024-07-06,18,1,285,1,24,4.66,19.34,8,11.34
100290,2025-11-25,10,6,268,1,149,0.0,149.0,60,89.0
100290,2025-11-25,11,6,268,2,129,27.03,230.97,90,140.97
100291,2024-12-20,6,1,165,1,249,0.0,249.0,120,129.0
100292,2026-07-22,11,8,186,2,129,0.0,258.0,90,168.0
100293,2024-10-03,15,1,249,1,35,0.0,35.0,12,23.0
100294,2024-04-28,1,10,269,1,999,0.0,999.0,620,379.0
100295,2026-01-15,18,3,273,1,24,0.0,24.0,8,16.0
100296,2026-05-16,16,9,125,1,39,0.0,39.0,15,24.0
100297,2024-11-04,2,1,103,1,799,176.92,622.08,480,142.08
100298,2024-08-20,12,9,223,1,279,0.0,279.0,140,139.0
100298,2024-08-20,10,9,223,1,149,0.0,149.0,60,89.0
100299,2024-08-02,1,10,190,1,999,83.97,915.03,620,295.03
100299,2024-08-02,5,10,190,1,349,0.0,349.0,180,169.0
100299,2024-08-02,15,10,190,1,35,0.0,35.0,12,23.0
100300,2025-06-27,11,4,308,1,129,0.0,129.0,45,84.0
100301,2025-05-05,7,10,91,1,599,132.96,466.04,260,206.04
100302,2024-10-18,20,3,123,1,179,18.46,160.54,70,90.54
100303,2024-02-27,9,10,238,1,79,0.0,79.0,25,54.0
