CustomerKey,CustomerSegment,AgeGroup
167,Enterprise,45-54
168,Enterprise,25-34
169,Consumer,55+
170,Enterprise,18-24
171,Consumer,25-34
172,Consumer,35-44
173,Consumer,35-44
174,Enterprise,35-44
175,Consumer,18-24
176,Consumer,25-34
177,Consumer,18-24
178,Enterprise,35-44
179,Enterprise,25-34
180,Consumer,35-44
181,Enterprise,35-44
182,Enterprise,45-54
183,Consumer,35-44
184,Consumer,45-54
185,Consumer,35-44
186,Consumer,45-54
187,Consumer,45-54
188,Consumer,25-34
189,Consumer,25-34
190,Consumer,45-54
191,Enterprise,25-34
192,Consumer,35-44
193,Consumer,18-24
194,Enterprise,35-44
195,Consumer,35-44
196,Consumer,45-54
197,Consumer,35-44
198,Enterprise,25-34
199,Consumer,55+
200,Consumer,35-44
201,Consumer,55+
202,Enterprise,45-54
203,Consumer,35-44
204,Consumer,55+
205,Consumer,18-24
206,Consumer,55+
207,Consumer,55+
208,Consumer,35-44
209,Consumer,45-54
210,Consumer,35-44
211,Consumer,25-34
212,Consumer,45-54
213,Consumer,25-34
214,Enterprise,25-34
215,Consumer,35-44
216,Consumer,55+
217,Consumer,25-34
218,Consumer,35-44
219,Enterprise,18-24
220,Consumer,18-24
221,Consumer,18-24
222,Consumer,18-24
223,Consumer,55+
224,Enterprise,55+
225,Consumer,55+
226,Enterprise,18-24
227,Consumer,18-24
228,Consumer,25-34
229,Consumer,35-44
230,Consumer,25-34
231,Consumer,35-44
232,Consumer,18-24
233,Enterprise,45-54
234,Consumer,25-34
235,Enterprise,18-24
236,Enterprise,45-54
237,Consumer,55+
238,Consumer,18-24
239,Consumer,35-44
240,Consumer,55+
241,Enterprise,45-54
242,Consumer,55+
243,Consumer,35-44
244,Consumer,25-34
245,Consumer,45-54
246,Enterprise,18-24
247,Consumer,25-34
248,Consumer,45-54
249,Consumer,45-54
250,Consumer,18-24
251,Consumer,35-44
252,Enterprise,25-34
253,Consumer,35-44
254,Consumer,55+
255,Consumer,18-24
256,Consumer,55+
257,Enterprise,35-44
258,Consumer,45-54
259,Consumer,35-44
260,Consumer,25-34
261,Consumer,45-54
262,Enterprise,45-54
263,Consumer,18-24
264,Consumer,45-54
265,Enterprise,45-54
266,Consumer,25-34
267,Consumer,55+
268,Consumer,45-54
269,Consumer,25-34
270,Consumer,18-24
271,Consumer,45-54
272,Consumer,25-34
273,Consumer,45-54
274,Consumer,35-44
275,Consumer,35-44
276,Consumer,18-24
277,Consumer,45-54
278,Consumer,18-24
279,Enterprise,35-44
280,Enterprise,55+
281,Consumer,55+
282,Consumer,55+
283,Consumer,55+
284,Consumer,35-44
285,Consumer,25-34
286,Consumer,55+
287,Consumer,55+
288,Consumer,55+
289,Consumer,45-54
290,Consumer,18-24
291,Enterprise,35-44
292,Consumer,35-44
293,Enterprise,55+
294,Consumer,25-34
295,Enterprise,25-34
296,Enterprise,18-24
297,Enterprise,55+
298,Enterprise,45-54
299,Consumer,18-24
300,Consumer,35-44
301,Consumer,35-44
302,Consumer,35-44
303,Consumer,55+
304,Consumer,18-24
305,Enterprise,25-34
306,Consumer,18-24
307,Consumer,25-34
308,Consumer,55+
309,Consumer,55+
310,Consumer,18-24
311,Consumer,45-54
312,Consumer,25-34
313,Consumer,18-24
314,Consumer,25-34
315,Consumer,18-24
316,Consumer,35-44
317,Consumer,55+
318,Consumer,35-44
319,Consumer,45-54
320,Enterprise,35-44
321,Enterprise,18-24
322,Consumer,18-24
323,Consumer,25-34
324,Consumer,25-34
325,Enterprise,55+
326,Consumer,55+
327,Enterprise,55+
328,Consumer,45-54
329,Consumer,35-44
330,Consumer,45-54
331,Consumer,35-44
332,Consumer,45-54
333,Consumer,45-54
334,Enterprise,45-54
335,Consumer,45-54
336,Consumer,18-24
337,Consumer,45-54
338,Consumer,25-34
339,Consumer,45-54
340,Enterprise,35-44
341,Consumer,55+
342,Enterprise,25-34
343,Enterprise,55+
344,Consumer,55+
345,Consumer,25-34
346,Consumer,35-44
347,Enterprise,35-44
348,Consumer,45-54
349,Consumer,45-54
350,Consumer,55+
351,Consumer,25-34
352,Consumer,35-44
353,Consumer,35-44
354,Consumer,55+
355,Consumer,25-34
356,Consumer,35-44
357,Consumer,18-24
358,Consumer,55+
359,Consumer,25-34
360,Consumer,25-34
361,Enterprise,35-44
362,Consumer,35-44
363,Consumer,55+
364,Consumer,35-44
365,Consumer,35-44
366,Consumer,18-24
367,Consumer,18-24
368,Consumer,25-34
369,Consumer,55+
370,Enterprise,55+
371,Consumer,45-54
372,Consumer,45-54
373,Consumer,25-34
374,Consumer,18-24
375,Consumer,18-24
376,Consumer,25-34
377,Enterprise,25-34
378,Consumer,18-24
379,Consumer,25-34
380,Consumer,18-24
381,Consumer,45-54
382,Enterprise,55+
383,Consumer,45-54
384,Consumer,35-44
385,Consumer,35-44
386,Enterprise,25-34
387,Consumer,18-24
388,Enterprise,35-44
389,Consumer,35-44
390,Enterprise,18-24
391,Consumer,35-44
392,Consumer,25-34
393,Consumer,18-24
394,Consumer,45-54
395,Consumer,35-44
396,Consumer,45-54
397,Enterprise,45-54
398,Consumer,55+
399,Consumer,55+
400,Consumer,45-54
